fruit,diameter,weight
RedApple,2.208096460194907,51.3735853865564
RedApple,1.7473536818595787,43.341778875424225
GreenApple,1.400152319087613,35.869065755981545
GreenApple,1.7220581453729955,30.00637468142043
RedApple,2.891040294910431,69.9444587664622
GreenApple,1.8555708149771257,33.77901142578486
GreenApple,2.4878424183903074,59.998204373549434
GreenApple,1.9625295984916036,37.97126880599138
RedApple,2.1196360733152133,53.72796994045466
RedApple,2.7094072141799033,53.159499796281914
GreenApple,2.657025199847812,64.92468712995597
RedApple,1.8918801430776635,37.25626456751965
GreenApple,1.4678557567797703,35.21052909904988
RedApple,0.9731499892225226,22.215174434162748
RedApple,2.5929552201104245,65.10235984947836
GreenApple,1.3111896666583414,24.360008555824983
GreenApple,2.3223104029333426,44.47582575589583
GreenApple,1.6147839366546564,40.4262366708476
RedApple,2.2229434697076176,43.23709142806878
RedApple,1.0547890229709806,25.244046819962083
RedApple,2.7879031103068574,57.27852850393529
RedApple,1.96356880375666,45.39424906791978
RedApple,2.0651213734955802,45.83823328319585
GreenApple,1.1857687211327237,21.432684313688924
GreenApple,1.869428227413489,40.79316661530996
RedApple,1.5351241094438564,35.68720823659578
RedApple,2.9215222879978793,55.892037341504086
RedApple,2.383016648087802,47.31652794391323
RedApple,1.8261839090252443,46.576030124713704
GreenApple,1.5401720753113457,28.451033630725988
GreenApple,1.858470987094701,38.37471023387651
RedApple,1.8003273531043786,36.08036375278946
RedApple,2.3500157982806975,54.11954896292575
GreenApple,2.418893275618044,44.38089638994903
GreenApple,2.005135451926588,35.832753680968885
RedApple,2.002439734243724,48.08278061511479
GreenApple,2.2563196747792635,53.190518474186206
GreenApple,2.0628316374934412,42.07266387054043
GreenApple,2.163184658601518,44.82883453981112
RedApple,2.4004389343768557,55.24158969047197
RedApple,1.4370388458072205,35.86800932670697
RedApple,2.0322109133589032,34.90292267772337
GreenApple,1.9565028674464322,41.1867084102264
RedApple,1.5238562334684187,36.682211183090416
GreenApple,2.5650425737056697,57.144693762985604
RedApple,1.9706792679639957,43.96881400772404
RedApple,1.9711983001857765,40.155387385647835
RedApple,2.189730241545893,44.93652426983787
RedApple,1.386219340934878,32.84632259218354
RedApple,2.0946687205205934,36.85580534380547
GreenApple,1.9393433873047403,39.568565997669324
GreenApple,1.9436667160982912,46.759778113478056
RedApple,2.193940090535316,43.13446563999505
GreenApple,2.499280054440261,62.086271054975455
RedApple,2.504515994374403,62.88863431125765
RedApple,3.0642716826192684,74.5292235797167
GreenApple,2.218124878178177,45.710073091967864
RedApple,1.7256635136212473,35.29430945161715
RedApple,2.3072408471451706,49.07322384183071
GreenApple,2.5057255943314285,59.425809297605575
GreenApple,1.4847137541358413,28.058120532839855
GreenApple,2.4009823607373884,48.98392414549707
GreenApple,1.3106505006198201,32.120674516147986
GreenApple,2.3656317942555334,51.72341516009293
GreenApple,2.010138609540469,45.088378099947064
GreenApple,1.6847812490446883,37.622618675843164
GreenApple,2.7845067997310355,51.50509285332918
RedApple,2.415317027570247,46.2912011405074
GreenApple,2.1135120853213993,39.7201984856824
GreenApple,2.7083432240256187,48.465678247233214
RedApple,2.2497655598441084,41.33987346685164
RedApple,1.8677410570461284,37.34841104807719
RedApple,2.824881709542559,50.248839224775324
GreenApple,2.821590518182907,63.93152946988736
RedApple,1.896138666192929,35.077911282338775
GreenApple,1.9496179212555964,39.43589927630693
GreenApple,1.9500697410770986,37.14478816089399
RedApple,2.1052531144708095,46.554901939871144
GreenApple,1.2707769233199464,29.877766816535836
GreenApple,2.0557205206623492,48.91004164328817
RedApple,1.989439413309489,36.689965707741955
GreenApple,1.08611802353683,22.711266231199286
GreenApple,1.4571632821277842,27.409618442151064
GreenApple,1.3894090778442592,30.009503867095024
GreenApple,2.2778069328136596,49.639456022751965
GreenApple,1.5323984347904753,32.95135242540697
RedApple,2.1427783009043333,37.07886190793766
GreenApple,1.4549283121064311,28.896696840680814
GreenApple,1.8628700457591765,46.4445967309742
RedApple,2.009606264117331,43.035415169134204
RedApple,1.9020944376046294,35.39161818172776
RedApple,2.227055924986051,48.47760227737499
RedApple,2.2490814078288666,53.90119153465862
GreenApple,1.0512503881761242,23.379857909283604
RedApple,2.4514072738370314,62.31327224119228
GreenApple,2.943382241805211,64.69223355543708
GreenApple,1.7856729459777574,36.85727079515763
RedApple,2.2935432995067755,42.32385801517175
RedApple,2.3849947288121576,58.75586001680218
RedApple,1.074441344354599,26.879317486663034
